city,state,country_code
Gonda ,Uttar Pradesh,IN
Gondal ,Gujarat,IN
Gondiya ,Maharashtra,IN
Gorakhpur ,Uttar Pradesh,IN
Greater Hyderabad ,Andhra Pradesh,IN
Greater Mumbai ,Maharashtra,IN
Greater Noida ,Uttar Pradesh,IN
Gudivada ,Andhra Pradesh,IN
Gulbarga ,Karnataka,IN
Guna ,Madhya Pradesh,IN
Guntakal ,Andhra Pradesh,IN
Guntur ,Andhra Pradesh,IN
Gurgaon ,Haryana,IN
Guwahati ,Assam,IN
Gwalior ,Madhya Pradesh,IN
Habra ,West Bengal,IN
Hajipur ,Bihar,IN
Haldia ,West Bengal,IN
Haldwani-cum-Kathgodam ,Uttarakhand,IN
Halisahar ,West Bengal,IN
Hanumangarh ,Rajasthan,IN
Haora ,West Bengal,IN
Hapur ,Uttar Pradesh,IN
Hardoi ,Uttar Pradesh,IN
Hardwar ,Uttarakhand,IN
Hassan ,Karnataka,IN
Hastsal ,Nct Of Delhi,IN
Hathras ,Uttar Pradesh,IN
Hazaribag ,Jharkhand,IN
Hindaun ,Rajasthan,IN
Hindupur ,Andhra Pradesh,IN
Hinganghat ,Maharashtra,IN
Hisar ,Haryana,IN
Hoshangabad ,Madhya Pradesh,IN
Hoshiarpur ,Punjab,IN
Hospet ,Karnataka,IN
Hosur ,Tamil Nadu,IN
Hubli-Dharwad ,Karnataka,IN
Hugli-Chinsurah ,West Bengal,IN
Ichalkaranji ,Maharashtra,IN
Imphal ,Manipur ,IN
Indore ,Madhya Pradesh,IN
Jabalpur ,Madhya Pradesh,IN
Jagadhri ,Haryana,IN
Jagdalpur ,Chhattisgarh,IN
Jaipur ,Rajasthan,IN
Jalandhar ,Punjab,IN
Jalgaon ,Maharashtra,IN
Jalna ,Maharashtra,IN
Jalpaiguri ,West Bengal,IN
Jamalpur ,Bihar,IN
Jammu ,Jammu & Kashmir,IN
Jamnagar ,Gujarat,IN
Jamshedpur ,Jharkhand,IN
Jamuria ,West Bengal,IN
Jaunpur ,Uttar Pradesh,IN
Jehanabad ,Bihar,IN
Jetpur Navagadh ,Gujarat,IN
Jhansi ,Uttar Pradesh,IN
Jhunjhunun ,Rajasthan,IN
Jind ,Haryana,IN
Jodhpur ,Rajasthan,IN
Junagadh ,Gujarat,IN
Kadapa ,Andhra Pradesh,IN
Kaithal ,Haryana,IN
Kakinada ,Andhra Pradesh,IN
Kalol ,Gujarat,IN
Kalyani ,West Bengal,IN
Kamarhati ,West Bengal,IN
Kancheepuram ,Tamil Nadu,IN
Kanchrapara ,West Bengal,IN
Kanpur ,Uttar Pradesh,IN
Kanpur City,Uttar Pradesh,IN
Karaikkudi ,Tamil Nadu,IN
Karawal Nagar ,Nct Of Delhi,IN
Karimnagar ,Andhra Pradesh,IN
Karnal ,Haryana,IN
Kasganj ,Uttar Pradesh,IN
Kashipur ,Uttarakhand,IN
Katihar ,Bihar,IN
Khammam ,Andhra Pradesh,IN
Khandwa ,Madhya Pradesh,IN
Khanna ,Punjab,IN
Kharagpur ,West Bengal,IN
Khardaha ,West Bengal,IN
Khargone ,Madhya Pradesh,IN
Khora ,Uttar Pradesh,IN
Khurja ,Uttar Pradesh,IN
Kirari Suleman Nagar ,Nct Of Delhi,IN
Kishanganj ,Bihar,IN
Kishangarh ,Rajasthan,IN
Kochi ,Kerala,IN
Kolar ,Karnataka,IN
Kolhapur ,Maharashtra,IN
Kolkata ,West Bengal,IN
Kollam ,Kerala,IN
Korba ,Chhattisgarh,IN
Kota ,Rajasthan,IN
Kozhikode ,Kerala,IN
Krishnanagar ,West Bengal,IN
Kulti ,West Bengal,IN
Kumbakonam ,Tamil Nadu,IN
Kurichi ,Tamil Nadu,IN
Kurnool ,Andhra Pradesh,IN
Lakhimpur ,Uttar Pradesh,IN
Lalitpur ,Uttar Pradesh,IN
Latur ,Maharashtra,IN
Loni ,Uttar Pradesh,IN
Lucknow ,Uttar Pradesh,IN
Ludhiana ,Punjab,IN
Machilipatnam ,Andhra Pradesh,IN
Madanapalle ,Andhra Pradesh,IN
Madavaram ,Tamil Nadu,IN
Madhyamgram ,West Bengal,IN
Madurai ,Tamil Nadu,IN
Mahbubnagar ,Andhra Pradesh,IN
Mahesana ,Gujarat,IN
Maheshtala ,West Bengal,IN
Mainpuri ,Uttar Pradesh,IN
Malegaon ,Maharashtra,IN
Malerkotla ,Punjab,IN
Mandoli ,Nct Of Delhi,IN
Mandsaur ,Madhya Pradesh,IN
Mandya ,Karnataka,IN
Mangalore ,Karnataka,IN
Mango ,Jharkhand,IN
Mathura ,Uttar Pradesh,IN
Maunath Bhanjan ,Uttar Pradesh,IN
Medinipur ,West Bengal,IN
Meerut ,Uttar Pradesh,IN
Mira Bhayander ,Maharashtra,IN
Miryalaguda ,Andhra Pradesh,IN
Mirzapur-cum-Vindhyachal ,Uttar Pradesh,IN
Modinagar ,Uttar Pradesh,IN
Moga ,Punjab,IN
Moradabad ,Uttar Pradesh,IN
Morena ,Madhya Pradesh,IN
Morvi ,Gujarat,IN
Motihari ,Bihar,IN
Mughalsarai ,Uttar Pradesh,IN
Muktsar ,Punjab,IN
Munger ,Bihar,IN
Murwara ,Madhya Pradesh,IN
Mustafabad ,Nct Of Delhi,IN
Muzaffarnagar ,Uttar Pradesh,IN
Muzaffarpur ,Bihar,IN
Mysore ,Karnataka,IN
Nabadwip ,West Bengal,IN
Nadiad ,Gujarat,IN
Nagaon ,Assam,IN
Nagapattinam ,Tamil Nadu,IN
Nagaur ,Rajasthan,IN
Nagda ,Madhya Pradesh,IN
Nagercoil ,Tamil Nadu,IN
Nagpur ,Maharashtra,IN
Naihati ,West Bengal,IN
Nalgonda ,Andhra Pradesh,IN
Nanded Waghala ,Maharashtra,IN
Nandurbar ,Maharashtra,IN
Nandyal ,Andhra Pradesh,IN
Nangloi Jat ,Nct Of Delhi,IN
Narasaraopet ,Andhra Pradesh,IN
Nashik ,Maharashtra,IN
Navi Mumbai ,Maharashtra,IN
Navi Mumbai Panvel Raigarh ,Maharashtra,IN
Navsari ,Gujarat,IN
Neemuch ,Madhya Pradesh,IN
Nellore ,Andhra Pradesh,IN
New Delhi ,Nct Of Delhi,IN
Neyveli ,Tamil Nadu,IN
Nizamabad ,Andhra Pradesh,IN
Noida ,Uttar Pradesh,IN
North Barrackpur ,West Bengal,IN
North Dum Dum ,West Bengal,IN
Ongole ,Andhra Pradesh,IN
Orai ,Uttar Pradesh,IN
Osmanabad ,Maharashtra,IN
Ozhukarai ,Puducherry,IN
Palakkad ,Kerala,IN
Palanpur ,Gujarat,IN
Pali ,Rajasthan,IN
Pallavaram ,Tamil Nadu,IN
Palwal ,Haryana,IN
Panchkula ,Haryana,IN
Panihati ,West Bengal,IN
Panipat ,Haryana,IN
Panvel ,Maharashtra,IN
Parbhani ,Maharashtra,IN
Patan ,Gujarat,IN
Pathankot ,Punjab,IN
Patiala ,Punjab,IN
Patna ,Bihar,IN
Pilibhit ,Uttar Pradesh,IN
Pimpri Chinchwad ,Maharashtra,IN
Pithampur ,Madhya Pradesh,IN
Porbandar ,Gujarat,IN
Port Blair ,Andaman & Nicobar Islands,IN
Proddatur ,Andhra Pradesh,IN
Puducherry ,Puducherry,IN
Pudukkottai ,Tamil Nadu,IN
Pune ,Maharashtra,IN
Puri ,Orissa,IN
Purnia ,Bihar,IN
Puruliya ,West Bengal,IN
Rae Bareli ,Uttar Pradesh,IN
Raichur ,Karnataka,IN
Raiganj ,West Bengal,IN
Raigarh ,Chhattisgarh,IN
Raipur ,Chhattisgarh,IN
Rajahmundry ,Andhra Pradesh,IN
Rajapalayam ,Tamil Nadu,IN
Rajarhat Gopalpur ,West Bengal,IN
Rajkot ,Gujarat,IN
Rajnandgaon ,Chhattisgarh,IN
Rajpur Sonarpur ,West Bengal,IN
Ramagundam ,Andhra Pradesh,IN
Rampur ,Uttar Pradesh,IN
Ranchi ,Jharkhand,IN
Ranibennur ,Karnataka,IN
Raniganj ,West Bengal,IN
Ratlam ,Madhya Pradesh,IN
Raurkela Industrial Township ,Orissa,IN
Raurkela Town ,Orissa,IN
Rewa ,Madhya Pradesh,IN
Rewari ,Haryana,IN
Rishra ,West Bengal,IN
Robertson Pet ,Karnataka,IN
Rohtak ,Haryana,IN
Roorkee ,Uttarakhand,IN
Rudrapur ,Uttarakhand,IN
S.A.S. Nagar ,Punjab,IN
Sagar ,Madhya Pradesh,IN
Saharanpur ,Uttar Pradesh,IN
Saharsa ,Bihar,IN
Salem ,Tamil Nadu,IN
Sambalpur ,Orissa,IN
Sambhal ,Uttar Pradesh,IN
Sangli Miraj Kupwad ,Maharashtra,IN
Santipur ,West Bengal,IN
Sasaram ,Bihar,IN
Satara ,Maharashtra,IN
Satna ,Madhya Pradesh,IN
Sawai Madhopur ,Rajasthan,IN
Secunderabad ,Andhra Pradesh,IN
Sehore ,Madhya Pradesh,IN
Seoni ,Madhya Pradesh,IN
Serampore ,West Bengal,IN
Shahjahanpur ,Uttar Pradesh,IN
Shamli ,Uttar Pradesh,IN
Shikohabad ,Uttar Pradesh,IN
Shillong ,Meghalaya,IN
Shimla ,Himachal Pradesh,IN
Shimoga ,Karnataka,IN
Shivpuri ,Madhya Pradesh,IN
Sikar ,Rajasthan,IN
Silchar ,Assam,IN
Siliguri ,West Bengal,IN
Singrauli ,Madhya Pradesh,IN
Sirsa ,Haryana,IN
Sitapur ,Uttar Pradesh,IN
Siwan ,Bihar,IN
Solapur ,Maharashtra,IN
Sonipat ,Haryana,IN
South Dum Dum ,West Bengal,IN
Srikakulam ,Andhra Pradesh,IN
Srinagar ,Jammu & Kashmir,IN
Sujangarh ,Rajasthan,IN
Sultan Pur Majra ,Nct Of Delhi,IN
Sultanpur ,Uttar Pradesh,IN
Surat ,Gujarat,IN
Surendranagar Dudhrej ,Gujarat,IN
Suryapet ,Andhra Pradesh,IN
Tadepalligudem ,Andhra Pradesh,IN
Tadpatri ,Andhra Pradesh,IN
Tambaram ,Tamil Nadu,IN
Tenali ,Andhra Pradesh,IN
Thane ,Maharashtra,IN
Thanesar ,Haryana,IN
Thanjavur ,Tamil Nadu,IN
Thiruvananthapuram ,Kerala,IN
Thoothukkudi ,Tamil Nadu,IN
Thrissur ,Kerala,IN
Tiruchirappalli ,Tamil Nadu,IN
Tirunelveli ,Tamil Nadu,IN
Tirupati ,Andhra Pradesh,IN
Tiruppur ,Tamil Nadu,IN
Tiruvannamalai ,Tamil Nadu,IN
Tiruvottiyur ,Tamil Nadu,IN
Titagarh ,West Bengal,IN
Tonk ,Rajasthan,IN
Tumkur ,Karnataka,IN
Udaipur ,Rajasthan,IN
Udgir ,Maharashtra,IN
Udupi ,Karnataka,IN
Ujjain ,Madhya Pradesh,IN
Ulhasnagar ,Maharashtra,IN
Uluberia ,West Bengal,IN
Unnao ,Uttar Pradesh,IN
Uttarpara Kotrung ,West Bengal,IN
Vadodara ,Gujarat,IN
Valsad ,Gujarat,IN
Varanasi ,Uttar Pradesh,IN
Vasai Virar City ,Maharashtra,IN
Vellore ,Tamil Nadu,IN
Veraval ,Gujarat,IN
Vidisha ,Madhya Pradesh,IN
Vijayawada ,Andhra Pradesh,IN
Visakhapatnam,Andhra Pradesh,IN
Vizianagaram ,Andhra Pradesh,IN
Warangal ,Andhra Pradesh,IN
Wardha ,Maharashtra,IN
Yamunanagar ,Haryana,IN
Yavatmal ,Maharashtra,IN
